TrackingTiming,PointMatchingTiming,TrackedPoints,TotalPoints,MissingPoints,CostMatrixTiming,EstimationDisplacementTiming,EstimationExtrapolationTiming,EstimationSpringTiming
2.3295,5.5037,192,192,0,4.4344,0.0005,0.0007,0.0094
2.3173,5.4899,192,192,0,4.4188,0.0007,0.0005,0.0107
2.3285,5.5426,192,192,0,4.4628,0.0005,0.0007,0.0099
2.3075,5.4955,192,192,0,4.4193,0.0005,0.0005,0.0099
2.3098,5.5009,192,192,0,4.4262,0.0005,0.0005,0.0115
2.3457,6.0221,192,192,0,4.4272,0.0007,0.0005,0.0112
2.2837,5.4922,192,192,0,4.4167,0.0007,0.0005,0.0104
2.2822,5.5047,192,192,0,4.4321,0.0005,0.0007,0.0097
2.3027,5.6696,192,192,0,4.4602,0.0007,0.001,0.0181
2.6298,5.8375,192,192,0,4.6381,0.0005,0.0007,0.011
2.5756,5.497,192,192,0,4.4295,0.0005,0.0005,0.0097
2.349,5.5175,192,192,0,4.4405,0.0005,0.0005,0.0094
2.3807,5.7976,192,192,0,4.6128,0.0007,0.0007,0.0127
2.2881,5.9678,192,192,0,4.4464,0.0005,0.0007,0.012
2.295,5.5144,192,192,0,4.4418,0.0007,0.0007,0.0094
2.2881,5.5183,192,192,0,4.4413,0.0005,0.0007,0.0104
2.3111,5.5436,192,192,0,4.4648,0.0005,0.0007,0.0102
2.348,5.5521,192,192,0,4.4684,0.0005,0.0007,0.0097
2.457,7.2514,192,192,0,6.1332,0.0005,0.0007,0.0104
2.2904,5.5485,192,192,0,4.4728,0.0005,0.0005,0.0099
2.3198,5.5608,192,192,0,4.4689,0.0005,0.0007,0.011
2.2914,5.5121,192,192,0,4.4387,0.0005,0.0007,0.013
2.2865,5.5098,192,192,0,4.4316,0.0005,0.0007,0.0094
2.2806,5.5172,192,192,0,4.4426,0.0005,0.0007,0.0102
3.3241,5.7471,192,192,0,4.6238,0.0005,0.0007,0.0097
2.5948,5.5615,192,192,0,4.4751,0.0007,0.0005,0.0104
2.383,5.5308,192,192,0,4.4477,0.0005,0.0007,0.0092
2.307,5.5219,192,192,0,4.4492,0.0007,0.0005,0.0099
2.2868,5.4932,192,192,0,4.4177,0.0005,0.0007,0.0099
2.339,5.5308,192,192,0,4.4525,0.0007,0.0005,0.0094
2.3231,6.0653,192,192,0,4.9459,0.0005,0.0005,0.0104
2.3267,5.5741,192,192,0,4.4792,0.0005,0.0007,0.0099
2.3193,5.5162,192,192,0,4.4405,0.0005,0.0007,0.0107
2.3091,5.4899,192,192,0,4.4195,0.0005,0.0007,0.0092
2.3106,5.5738,192,192,0,4.4817,0.0005,0.0007,0.0094
2.3472,5.5423,192,192,0,4.4592,0.0005,0.0007,0.0099
2.3203,5.5551,192,192,0,4.4653,0.0005,0.0005,0.0094
2.3062,5.5375,192,192,0,4.4625,0.0007,0.0005,0.0087
2.2732,5.7778,192,192,0,4.6527,0.0005,0.0005,0.0102
2.4527,6.0932,192,192,0,4.9963,0.0005,0.0005,0.0104
2.5745,5.4963,192,192,0,4.4313,0.0007,0.0005,0.0102
2.3142,5.56,192,192,0,4.4738,0.0007,0.0005,0.0099
2.3132,5.6824,192,192,0,4.5524,0.0007,0.0007,0.0125
2.295,5.5718,192,192,0,4.4579,0.0005,0.0005,0.0099
2.3037,5.5139,192,192,0,4.4428,0.0005,0.0005,0.0204
2.4519,5.7668,192,192,0,4.6323,0.0007,0.0005,0.0102
2.3541,5.6086,192,192,0,4.4825,0.0005,0.0005,0.0094
2.3472,5.5608,192,192,0,4.4792,0.0005,0.0005,0.0092
2.3331,5.6255,192,192,0,4.5107,0.0005,0.0007,0.0112
2.2988,5.5262,192,192,0,4.4538,0.0005,0.0007,0.0099
2.3365,5.5656,192,192,0,4.4725,0.0005,0.0005,0.0099
2.3129,5.519,192,192,0,4.4444,0.0007,0.0007,0.0104
2.2668,5.5815,192,192,0,4.4917,0.0005,0.0007,0.0097
2.2888,5.5771,192,192,0,4.4881,0.0005,0.0007,0.0092
2.308,5.4973,192,192,0,4.4269,0.0005,0.0005,0.0097
2.6042,5.5428,192,192,0,4.4508,0.0005,0.0007,0.0099
2.3352,5.5469,192,192,0,4.4533,0.0005,0.0007,0.0102
2.3091,5.5139,192,192,0,4.4408,0.0007,0.0007,0.0097
2.3119,5.5185,192,192,0,4.4444,0.0005,0.0005,0.0094
2.3505,5.5521,192,192,0,4.4699,0.0005,0.0007,0.0099
