Run,Model,Location,Intensity,Direction,Error,Occlusions,Z-Movement
9,Spring,center,Light,xy,0.063935,2,False
9,Baseline,center,Light,xy,0.043772,2,False
10,Displacement,center,Light,xy,0.027423,2,False
10,Extrapolation,center,Light,xy,0.023067,2,False
10,Spring,center,Light,xy,0.066332,2,False
10,Baseline,center,Light,xy,0.050091,2,False
1,Displacement,center,Medium,xy,0.037032,2,False
1,Extrapolation,center,Medium,xy,0.031262,2,False
1,Spring,center,Medium,xy,0.072816,2,False
1,Baseline,center,Medium,xy,0.061785,2,False
2,Displacement,center,Medium,xy,0.037843,2,False
2,Extrapolation,center,Medium,xy,0.036903,2,False
2,Spring,center,Medium,xy,0.075172,2,False
2,Baseline,center,Medium,xy,0.065483,2,False
3,Displacement,center,Medium,xy,0.044693,2,False
3,Extrapolation,center,Medium,xy,0.035669,2,False
3,Spring,center,Medium,xy,0.080170,2,False
3,Baseline,center,Medium,xy,0.075980,2,False
4,Displacement,center,Medium,xy,0.053193,2,False
4,Extrapolation,center,Medium,xy,0.047786,2,False
4,Spring,center,Medium,xy,0.088334,2,False
4,Baseline,center,Medium,xy,0.085404,2,False
5,Displacement,center,Medium,xy,0.059620,2,False
5,Extrapolation,center,Medium,xy,0.050275,2,False
5,Spring,center,Medium,xy,0.094587,2,False
5,Baseline,center,Medium,xy,0.094061,2,False
6,Displacement,center,Medium,xy,0.058576,2,False
6,Extrapolation,center,Medium,xy,0.049553,2,False
6,Spring,center,Medium,xy,0.095070,2,False
6,Baseline,center,Medium,xy,0.096304,2,False
7,Displacement,center,Medium,xy,0.062506,2,False
7,Extrapolation,center,Medium,xy,0.059301,2,False
7,Spring,center,Medium,xy,0.099155,2,False
7,Baseline,center,Medium,xy,0.100263,2,False
8,Displacement,center,Medium,xy,0.067527,2,False
8,Extrapolation,center,Medium,xy,0.056809,2,False
8,Spring,center,Medium,xy,0.104152,2,False
8,Baseline,center,Medium,xy,0.110679,2,False
9,Displacement,center,Medium,xy,0.075027,2,False
9,Extrapolation,center,Medium,xy,0.065149,2,False
9,Spring,center,Medium,xy,0.111298,2,False
9,Baseline,center,Medium,xy,0.120074,2,False
10,Displacement,center,Medium,xy,0.077532,2,False
10,Extrapolation,center,Medium,xy,0.064156,2,False
10,Spring,center,Medium,xy,0.113354,2,False
10,Baseline,center,Medium,xy,0.126452,2,False
1,Displacement,center,Strong,xy,0.076720,2,False
1,Extrapolation,center,Strong,xy,0.064494,2,False
1,Spring,center,Strong,xy,0.113012,2,False
1,Baseline,center,Strong,xy,0.127941,2,False
2,Displacement,center,Strong,xy,0.075103,2,False
2,Extrapolation,center,Strong,xy,0.059993,2,False
2,Spring,center,Strong,xy,0.112971,2,False
2,Baseline,center,Strong,xy,0.127910,2,False
3,Displacement,center,Strong,xy,0.076798,2,False
3,Extrapolation,center,Strong,xy,0.063818,2,False
3,Spring,center,Strong,xy,0.115457,2,False
3,Baseline,center,Strong,xy,0.133770,2,False
4,Displacement,center,Strong,xy,0.074750,3,False
